kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,170.53875,0.146,2.9575,6.1580e+02,2.26,793,93.59,35.8,2,142,1,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,162.51384,0.586,4.507,8.7480e+02,2.83,443,9.11,25.8,2,25,2,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,,15.347
10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19.89913995,175.850252,0.969,1.7822,1.0829e+04,14.6,638,39.3,76.3,1,56,1,q1_q17_dr25_tce,5853,4.544,-0.18,0.868,0.961,,15.436
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8.0792e+03,33.46,1395,891.96,505.6,1,621,1,q1_q17_dr25_tce,5805,4.564,-0.52,0.791,0.836,,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,171.59555,0.701,1.6545,6.0330e+02,2.75,1406,926.16,40.9,1,515,1,q1_q17_dr25_tce,6031,4.438,0.07,1.046,1.095,,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,171.20116,0.538,4.5945,1.5175e+03,3.9,835,114.81,66.5,3,95,1,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,172.97937,0.762,3.1402,6.8600e+02,2.77,1160,427.65,40.2,3,240,2,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,179.55437,0.755,2.429,2.2650e+02,1.59,1360,807.74,15,3,355,3,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,,15.714
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958,132.25053,1.169,5.022,2.3370e+02,39.21,1342,767.22,47.7,1,185,1,q1_q17_dr25_tce,6227,3.986,0,1.958,1.358,,12.66
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4.9143e+03,5.76,600,30.75,161.9,3,69,1,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,122.763305,0.818,1.74319,1.4231e+04,13.04,1339,761.46,4304.3,1,432,1,q1_q17_dr25_tce,5820,4.457,-0.06,0.964,0.971,,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6.6747e+03,16.1,2048,4148.92,5945.9,1,611,1,q1_q17_dr25_tce,6440,4.019,0.14,1.952,1.449,,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9.1457e+03,14.59,1521,1264.67,1741.5,1,384,1,q1_q17_dr25_tce,6225,4.169,-0.04,1.451,1.132,,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709214104,133.98318,0.051,2.6302,1.3110e+02,1.16,1206,500.46,50.6,2,352,2,q1_q17_dr25_tce,5833,4.407,-0.04,1.022,0.974,,12.772
10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.52144606,170.839688,2.483,3.6399,1.7984e+04,150.51,753,75.88,622.1,1,96,1,q1_q17_dr25_tce,5795,4.554,-0.2,0.848,0.938,,15.472
10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8.9187e+03,7.18,523,17.69,214.7,1,71,1,q1_q17_dr25_tce,5043,4.591,-0.54,0.68,0.657,,15.487
10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,7.4284e+04,49.29,698,55.97,2317,2,55,1,q1_q17_dr25_tce,6117,4.496,-0.22,0.947,1.025,,15.341
10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,1.0479e+04,7.94,595,29.61,303.4,1,66,1,q1_q17_dr25_tce,5152,4.517,-0.2,0.786,0.741,,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1.2883e+03,2.47,649,41.85,87.2,1,144,1,q1_q17_dr25_tce,4856,4.583,-0.3,0.696,0.676,,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1.9127e+03,2.85,678,50.04,65.4,1,215,1,q1_q17_dr25_tce,4537,4.648,0.21,0.672,0.761,,15.784
10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,3.9790e+02,1.58,1066,305.34,48.2,1,501,1,q1_q17_dr25_tce,4989,4.504,0.1,0.819,0.781,,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.349553819,171.80694,0.092,3.0278,8.3100e+02,2.55,919,168.99,60.6,3,247,1,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,136.08662,0.226,2.5984,3.6330e+02,1.7,1018,253.15,28.9,3,322,2,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,,15.416
10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,132.8031,0.025,3.596,2.1740e+02,1.3,800,97.03,14.1,3,141,3,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,,15.416
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,2.4927e+04,41.5,297,1.84,994,1,,1,q1_q16_tce,5543,4.081,0.44,1.58,1.103,,12.394
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.67699193,171.53594,0.896,3.4555,8.5720e+02,2.95,530,18.64,34.3,4,62,1,q1_q17_dr25_tce,4954,4.5,0.18,0.828,0.791,,15.377
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.99677968,171.74208,0.71,2.1717,9.3470e+02,2.78,917,166.95,28.2,1,208,1,q1_q17_dr25_tce,5339,4.552,0.18,0.847,0.931,,15.861
11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.280963604,171.89659,0.424,2.875,7.5080e+02,2.3,1012,247.87,61.8,1,311,1,q1_q17_dr25_tce,5644,4.564,-0.14,0.831,0.928,,15.356
