koi_score,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_disposition
1.0,0,0,0,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,2,142.0,1.0,5455.0,4.467,0.14,0.927,0.919,15.347,CONFIRMED
0.969,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,2,25.0,2.0,5455.0,4.467,0.14,0.927,0.919,15.347,CONFIRMED
0.0,1,0,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,1,621.0,1.0,5805.0,4.564,-0.52,0.791,0.836,15.597,FALSE POSITIVE
1.0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,1,515.0,1.0,6031.0,4.438,0.07,1.046,1.095,15.509,CONFIRMED
1.0,0,0,0,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,3,95.0,1.0,6046.0,4.486,-0.08,0.972,1.053,15.714,CONFIRMED
1.0,0,0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,3,240.0,2.0,6046.0,4.486,-0.08,0.972,1.053,15.714,CONFIRMED
0.992,0,0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,3,355.0,3.0,6046.0,4.486,-0.08,0.972,1.053,15.714,CONFIRMED
0.0,1,1,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,1,185.0,1.0,6227.0,3.986,0.0,1.958,1.358,12.66,FALSE POSITIVE
1.0,0,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,3,69.0,1.0,5031.0,4.485,0.16,0.848,0.801,15.841,CONFIRMED
0.811,0,0,0,2.470613377,122.763305,0.818,1.74319,14231.0,13.04,1339.0,761.46,4304.3,1,432.0,1.0,5820.0,4.457,-0.06,0.964,0.971,11.338,CONFIRMED
1.0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,1,611.0,1.0,6440.0,4.019,0.14,1.952,1.449,10.463,CONFIRMED
0.998,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,1,384.0,1.0,6225.0,4.169,-0.04,1.451,1.132,13.563,CONFIRMED
1.0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,2,352.0,2.0,5833.0,4.407,-0.04,1.022,0.974,12.772,CONFIRMED
0.0,1,0,0,11.52144606,170.839688,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,1,96.0,1.0,5795.0,4.554,-0.2,0.848,0.938,15.472,FALSE POSITIVE
0.0,1,0,0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,1,71.0,1.0,5043.0,4.591,-0.54,0.68,0.657,15.487,FALSE POSITIVE
0.0,1,0,0,19.22138894,184.5521637,1.065,4.79843,74284.0,49.29,698.0,55.97,2317.0,2,55.0,1.0,6117.0,4.496,-0.22,0.947,1.025,15.341,FALSE POSITIVE
0.0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595.0,29.61,303.4,1,66.0,1.0,5152.0,4.517,-0.2,0.786,0.741,15.788,FALSE POSITIVE
1.0,0,0,0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,1,144.0,1.0,4856.0,4.583,-0.3,0.696,0.676,15.302,CONFIRMED
1.0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,1,215.0,1.0,4537.0,4.648,0.21,0.672,0.761,15.784,CONFIRMED
0.0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,1,501.0,1.0,4989.0,4.504,0.1,0.819,0.781,15.269,FALSE POSITIVE
1.0,0,0,0,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,3,247.0,1.0,5185.0,4.44,0.16,0.91,0.831,15.416,CONFIRMED
0.98,0,0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,3,322.0,2.0,5185.0,4.44,0.16,0.91,0.831,15.416,CONFIRMED
0.971,0,0,0,8.10904807,132.8031,0.025,3.596,217.4,1.3,800.0,97.03,14.1,3,141.0,3.0,5185.0,4.44,0.16,0.91,0.831,15.416,CONFIRMED
0.39928999999999987,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927.0,41.5,297.0,1.84,994.0,1,323.24,1.0,5543.0,4.081,0.44,1.58,1.103,12.394,FALSE POSITIVE
1.0,0,0,0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4,62.0,1.0,4954.0,4.5,0.18,0.828,0.791,15.377,CONFIRMED
1.0,0,0,0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,1,208.0,1.0,5339.0,4.552,0.18,0.847,0.931,15.861,CONFIRMED
1.0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,1,311.0,1.0,5644.0,4.564,-0.14,0.831,0.928,15.356,CONFIRMED
0.0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.1,1,882.0,1.0,5714.0,4.563,-0.2,0.831,0.926,15.525,FALSE POSITIVE
0.0,1,1,0,670.645531,209.04355,0.701,53.412,18091.0,14.14,196.0,0.35,642.7,1,3.0,1.0,5520.0,4.466,0.48,0.983,1.03,15.207,FALSE POSITIVE
0.0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505.0,15.43,85.3,1,13.0,1.0,6144.0,4.402,0.0,1.091,1.093,15.25,FALSE POSITIVE
1.0,0,0,0,38.3775486,172.82048,0.468,5.588,724.2,2.82,529.0,18.53,34.7,1,37.0,1.0,5481.0,4.369,0.16,1.036,0.915,15.172,CONFIRMED
0.992,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,3,26.0,2.0,5031.0,4.485,0.16,0.848,0.801,15.841,CONFIRMED
1.0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,3,167.0,3.0,5031.0,4.485,0.16,0.848,0.801,15.841,CONFIRMED
1.0,0,0,0,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,1,65.0,1.0,5015.0,4.499,0.1,0.826,0.785,15.39,CONFIRMED
1.0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,2,34.0,1.0,5586.0,4.56,-0.3,0.798,0.844,15.082,CONFIRMED
0.978,0,0,0,91.7732862,193.8378,0.606,6.473,652.0,2.12,359.0,3.92,19.1,2,11.0,2.0,5586.0,4.56,-0.3,0.798,0.844,15.082,CONFIRMED
1.0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802.0,12.21,1103.0,349.4,696.5,1,269.0,1.0,5712.0,4.359,0.1,1.082,0.976,15.263,CONFIRMED
0.0,1,1,0,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222.0,527.81,48.3,1,387.0,1.0,5550.0,4.468,-0.04,0.91,0.889,15.54,FALSE POSITIVE
1.0,0,0,0,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,1,238.0,1.0,6075.0,4.486,-0.12,0.969,1.048,15.395,CONFIRMED
0.0,1,0,0,19.65120951,179.401981,0.723,5.2514,11766.0,12.42,730.0,67.03,513.4,1,59.0,1.0,6074.0,4.391,-0.12,1.063,1.014,15.536,FALSE POSITIVE
1.0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,3,244.0,1.0,5779.0,4.339,-0.06,1.087,0.941,12.791,CONFIRMED
0.998,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,1,33.0,1.0,5468.0,4.367,0.22,1.046,0.93,15.4,CONFIRMED
1.0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,1,127.0,1.0,5592.0,4.582,-0.28,0.787,0.862,15.317,CONFIRMED
1.0,0,0,0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,1,323.0,1.0,6174.0,4.417,0.1,1.103,1.162,15.506,CONFIRMED
1.0,0,0,0,2.816504904,170.9676846,0.105,2.50587,16814.0,12.21,1219.0,521.13,1406.8,1,474.0,1.0,5532.0,4.452,0.14,0.955,0.941,15.052,CONFIRMED
0.0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430.0,8.11,236.1,1,31.0,1.0,5040.0,4.628,-0.24,0.705,0.782,15.716,FALSE POSITIVE
1.0,0,0,0,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,1,360.0,1.0,5880.0,4.518,-0.06,0.917,1.01,15.242,CONFIRMED
1.0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,3,302.0,1.0,5714.0,4.428,0.16,1.015,1.007,15.367,CONFIRMED
1.0,0,0,0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,3,109.0,2.0,5714.0,4.428,0.16,1.015,1.007,15.367,CONFIRMED
1.0,0,0,0,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,1,51.0,1.0,5129.0,4.595,0.02,0.763,0.846,15.234,CONFIRMED
1.0,0,0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,4,101.0,1.0,5854.0,4.406,-0.12,1.012,0.951,12.882,CONFIRMED
1.0,0,0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,3,181.0,2.0,5779.0,4.339,-0.06,1.087,0.941,12.791,CONFIRMED
0.014,1,0,0,7.442652004,169.9717797,0.137,2.3078,24446.0,15.03,967.0,206.78,835.6,1,180.0,1.0,6108.0,4.469,-0.3,0.956,0.981,15.27,FALSE POSITIVE
1.0,0,0,0,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433.0,8.35,28.9,3,65.0,2.0,4126.0,4.661,0.04,0.615,0.633,15.095,CONFIRMED
1.0,0,0,0,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553.0,22.18,38.7,3,135.0,1.0,4126.0,4.661,0.04,0.615,0.633,15.095,CONFIRMED
1.0,0,0,0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332.0,2.88,21.7,3,27.0,3.0,4126.0,4.661,0.04,0.615,0.633,15.095,CONFIRMED
